 198: 2.513742, 3.468277 avg loss, 0.000002 rate, 10.397499 seconds, 12672 images
 199: 2.185580, 3.340007 avg loss, 0.000002 rate, 10.374255 seconds, 12736 images
 200: 2.360281, 3.242034 avg loss, 0.000002 rate, 10.376850 seconds, 12800 images
 201: 2.290560, 3.146887 avg loss, 0.000002 rate, 11.146338 seconds, 12864 images
 202: 2.470588, 3.079257 avg loss, 0.000002 rate, 11.226231 seconds, 12928 images
 203: 2.250778, 2.996409 avg loss, 0.000002 rate, 11.230838 seconds, 12992 images
 204: 2.556368, 2.952405 avg loss, 0.000002 rate, 11.243494 seconds, 13056 images
 205: 2.370741, 2.894238 avg loss, 0.000002 rate, 11.270787 seconds, 13120 images
 206: 2.093894, 2.814204 avg loss, 0.000002 rate, 11.265503 seconds, 13184 images
 207: 1.820631, 2.714847 avg loss, 0.000002 rate, 11.263435 seconds, 13248 images
 208: 2.057952, 2.649157 avg loss, 0.000002 rate, 11.248094 seconds, 13312 images
 209: 2.120216, 2.596263 avg loss, 0.000002 rate, 11.243875 seconds, 13376 images
 210: 2.247325, 2.561369 avg loss, 0.000002 rate, 11.246820 seconds, 13440 images
 211: 2.004296, 2.505662 avg loss, 0.000002 rate, 11.866239 seconds, 13504 images
 212: 1.781063, 2.433202 avg loss, 0.000002 rate, 11.988972 seconds, 13568 images
 213: 2.243451, 2.414227 avg loss, 0.000002 rate, 11.987825 seconds, 13632 images
 214: 1.967781, 2.369582 avg loss, 0.000002 rate, 11.980487 seconds, 13696 images
 215: 2.309025, 2.363527 avg loss, 0.000002 rate, 11.994598 seconds, 13760 images
 216: 2.369957, 2.364170 avg loss, 0.000002 rate, 12.003924 seconds, 13824 images
 217: 2.160035, 2.343756 avg loss, 0.000002 rate, 11.968747 seconds, 13888 images
 218: 2.119433, 2.321324 avg loss, 0.000002 rate, 11.979743 seconds, 13952 images
 219: 2.180066, 2.307198 avg loss, 0.000002 rate, 11.984798 seconds, 14016 images
 220: 1.837615, 2.260240 avg loss, 0.000002 rate, 11.975717 seconds, 14080 images
 221: 1.766976, 2.210913 avg loss, 0.000002 rate, 7.611461 seconds, 14144 images
 222: 1.898403, 2.179662 avg loss, 0.000002 rate, 7.690722 seconds, 14208 images
 223: 2.239760, 2.185672 avg loss, 0.000002 rate, 7.707572 seconds, 14272 images
 224: 1.895990, 2.156704 avg loss, 0.000003 rate, 7.713560 seconds, 14336 images
 225: 1.778439, 2.118877 avg loss, 0.000003 rate, 7.715252 seconds, 14400 images
 226: 1.964326, 2.103422 avg loss, 0.000003 rate, 7.731649 seconds, 14464 images
 227: 1.838216, 2.076902 avg loss, 0.000003 rate, 7.688294 seconds, 14528 images
 228: 1.801697, 2.049381 avg loss, 0.000003 rate, 7.726010 seconds, 14592 images
 229: 1.706519, 2.015095 avg loss, 0.000003 rate, 7.712891 seconds, 14656 images
 230: 1.561591, 1.969745 avg loss, 0.000003 rate, 7.726483 seconds, 14720 images
 231: 1.897380, 1.962508 avg loss, 0.000003 rate, 11.133399 seconds, 14784 images
 232: 1.857958, 1.952053 avg loss, 0.000003 rate, 11.241880 seconds, 14848 images
 233: 1.729008, 1.929749 avg loss, 0.000003 rate, 11.236661 seconds, 14912 images
 234: 1.500804, 1.886854 avg loss, 0.000003 rate, 11.227564 seconds, 14976 images
 235: 1.666110, 1.864780 avg loss, 0.000003 rate, 11.229146 seconds, 15040 images
 236: 1.560168, 1.834319 avg loss, 0.000003 rate, 11.239787 seconds, 15104 images
 237: 1.486761, 1.799563 avg loss, 0.000003 rate, 11.242027 seconds, 15168 images
 238: 2.079361, 1.827543 avg loss, 0.000003 rate, 11.241814 seconds, 15232 images
 239: 1.585954, 1.803384 avg loss, 0.000003 rate, 11.240926 seconds, 15296 images
 240: 1.834083, 1.806454 avg loss, 0.000003 rate, 11.249801 seconds, 15360 images
 241: 1.605080, 1.786316 avg loss, 0.000003 rate, 13.211551 seconds, 15424 images
 242: 1.581724, 1.765857 avg loss, 0.000003 rate, 13.330995 seconds, 15488 images
 243: 1.818011, 1.771073 avg loss, 0.000003 rate, 13.336071 seconds, 15552 images
 244: 1.780308, 1.771996 avg loss, 0.000004 rate, 13.352043 seconds, 15616 images
 245: 1.718463, 1.766643 avg loss, 0.000004 rate, 13.364120 seconds, 15680 images
 246: 1.885254, 1.778504 avg loss, 0.000004 rate, 13.354538 seconds, 15744 images
 247: 1.635986, 1.764252 avg loss, 0.000004 rate, 13.317060 seconds, 15808 images
 248: 1.749893, 1.762816 avg loss, 0.000004 rate, 13.306066 seconds, 15872 images
 249: 1.648320, 1.751367 avg loss, 0.000004 rate, 13.312524 seconds, 15936 images
 250: 1.377981, 1.714028 avg loss, 0.000004 rate, 13.306049 seconds, 16000 images
 251: 1.842919, 1.726917 avg loss, 0.000004 rate, 7.090773 seconds, 16064 images
 252: 1.893023, 1.743528 avg loss, 0.000004 rate, 7.173556 seconds, 16128 images
 253: 1.481923, 1.717367 avg loss, 0.000004 rate, 7.169600 seconds, 16192 images
 254: 1.705092, 1.716140 avg loss, 0.000004 rate, 7.177902 seconds, 16256 images
 255: 1.781325, 1.722658 avg loss, 0.000004 rate, 7.167582 seconds, 16320 images
 256: 1.517735, 1.702166 avg loss, 0.000004 rate, 7.174986 seconds, 16384 images
 257: 1.298392, 1.661788 avg loss, 0.000004 rate, 7.199002 seconds, 16448 images
 258: 1.637455, 1.659355 avg loss, 0.000004 rate, 7.199838 seconds, 16512 images
 259: 1.600398, 1.653459 avg loss, 0.000004 rate, 7.199748 seconds, 16576 images
 260: 1.430365, 1.631150 avg loss, 0.000005 rate, 7.193278 seconds, 16640 images
 261: 1.408394, 1.608874 avg loss, 0.000005 rate, 14.120024 seconds, 16704 images
 262: 1.443686, 1.592355 avg loss, 0.000005 rate, 14.254794 seconds, 16768 images
 263: 1.628225, 1.595942 avg loss, 0.000005 rate, 14.263236 seconds, 16832 images
 264: 1.508990, 1.587247 avg loss, 0.000005 rate, 14.264933 seconds, 16896 images
 265: 1.612890, 1.589811 avg loss, 0.000005 rate, 14.256820 seconds, 16960 images
 266: 1.660841, 1.596914 avg loss, 0.000005 rate, 14.241110 seconds, 17024 images
 267: 1.507768, 1.588000 avg loss, 0.000005 rate, 14.259917 seconds, 17088 images
 268: 1.388783, 1.568078 avg loss, 0.000005 rate, 14.258704 seconds, 17152 images
 269: 1.255574, 1.536828 avg loss, 0.000005 rate, 14.236095 seconds, 17216 images
 270: 1.549432, 1.538088 avg loss, 0.000005 rate, 14.231975 seconds, 17280 images
 271: 1.366723, 1.520952 avg loss, 0.000005 rate, 9.543024 seconds, 17344 images
 272: 1.657561, 1.534613 avg loss, 0.000005 rate, 9.656868 seconds, 17408 images
 273: 1.436142, 1.524765 avg loss, 0.000006 rate, 9.677361 seconds, 17472 images
 274: 1.489523, 1.521241 avg loss, 0.000006 rate, 9.671468 seconds, 17536 images
 275: 1.339387, 1.503056 avg loss, 0.000006 rate, 9.677663 seconds, 17600 images
 276: 1.405153, 1.493266 avg loss, 0.000006 rate, 9.674962 seconds, 17664 images
 277: 1.354902, 1.479429 avg loss, 0.000006 rate, 9.671405 seconds, 17728 images
 278: 1.619566, 1.493443 avg loss, 0.000006 rate, 9.680631 seconds, 17792 images
 279: 1.595294, 1.503628 avg loss, 0.000006 rate, 9.671174 seconds, 17856 images
 280: 1.238596, 1.477125 avg loss, 0.000006 rate, 9.662477 seconds, 17920 images
 281: 1.651969, 1.494609 avg loss, 0.000006 rate, 10.304164 seconds, 17984 images
 282: 1.429111, 1.488059 avg loss, 0.000006 rate, 10.382116 seconds, 18048 images
 283: 1.428587, 1.482112 avg loss, 0.000006 rate, 10.371789 seconds, 18112 images
 284: 1.419013, 1.475802 avg loss, 0.000007 rate, 10.378266 seconds, 18176 images
 285: 1.372663, 1.465488 avg loss, 0.000007 rate, 10.374560 seconds, 18240 images
 286: 1.340117, 1.452951 avg loss, 0.000007 rate, 10.382749 seconds, 18304 images
 287: 1.385026, 1.446159 avg loss, 0.000007 rate, 10.374163 seconds, 18368 images
 288: 1.312708, 1.432814 avg loss, 0.000007 rate, 10.388423 seconds, 18432 images
 289: 1.287226, 1.418255 avg loss, 0.000007 rate, 10.371265 seconds, 18496 images
 290: 1.455379, 1.421967 avg loss, 0.000007 rate, 10.377496 seconds, 18560 images
 291: 1.468326, 1.426603 avg loss, 0.000007 rate, 18.392245 seconds, 18624 images
 292: 1.467758, 1.430719 avg loss, 0.000007 rate, 18.598042 seconds, 18688 images
 293: 1.162153, 1.403862 avg loss, 0.000007 rate, 18.566706 seconds, 18752 images
 294: 1.467777, 1.410254 avg loss, 0.000007 rate, 18.560111 seconds, 18816 images
 295: 1.315232, 1.400752 avg loss, 0.000008 rate, 18.552276 seconds, 18880 images
 296: 1.427031, 1.403380 avg loss, 0.000008 rate, 18.546594 seconds, 18944 images
 297: 1.369910, 1.400033 avg loss, 0.000008 rate, 18.529764 seconds, 19008 images
 298: 1.173788, 1.377408 avg loss, 0.000008 rate, 18.573619 seconds, 19072 images
 299: 1.352425, 1.374910 avg loss, 0.000008 rate, 18.576425 seconds, 19136 images
 300: 1.359352, 1.373354 avg loss, 0.000008 rate, 18.572577 seconds, 19200 images
 301: 1.258809, 1.361899 avg loss, 0.000008 rate, 9.642426 seconds, 19264 images
 302: 1.191758, 1.344885 avg loss, 0.000008 rate, 9.683723 seconds, 19328 images
 303: 1.264864, 1.336883 avg loss, 0.000008 rate, 9.704646 seconds, 19392 images
 304: 1.304248, 1.333620 avg loss, 0.000009 rate, 9.697005 seconds, 19456 images
 305: 1.124442, 1.312702 avg loss, 0.000009 rate, 9.686694 seconds, 19520 images
 306: 1.625481, 1.343980 avg loss, 0.000009 rate, 9.654868 seconds, 19584 images
 307: 1.250746, 1.334656 avg loss, 0.000009 rate, 9.623870 seconds, 19648 images
